ags,city,county,state_code,label
12052000,Cottbus,,DE-BB,CB
15001000,Dessau-Roßlau,,DE-ST,DE
15001000,Dessau-Roßlau,,DE-ST,RSL
01003000,Lübeck,,DE-SH,HL
03256009,Hämelhausen,Nienburg (Weser),DE-NI,NI
03256003,Bücken,Nienburg (Weser),DE-NI,NI
03256011,Haßbergen,Nienburg (Weser),DE-NI,NI
05111000,Düsseldorf,,DE-NW,D
05116000,Mönchengladbach,,DE-NW,MG
05117000,Mülheim an der Ruhr,,DE-NW,MH
05315000,Köln,,DE-NW,K
09763000,Kempten (Allgäu),,DE-BY,KE
09363000,Weiden in der Oberpfalz,,DE-BY,WEN
08335001,Aach,Landkreis Konstanz,DE-BW,KN
08335001,Aach,Landkreis Konstanz,DE-BW,STO
07235001,Aach,Landkreis Trier-Saarburg,DE-RP,TR
07235001,Aach,Landkreis Trier-Saarburg,DE-RP,SAB
05334002,Aachen,Städteregion Aachen,DE-NW,AC
08136088,Aalen,Ostalbkreis,DE-BW,AA
08136088,Aalen,Ostalbkreis,DE-BW,GD
06439001,Aarbergen,Rheingau-Taunus-Kreis,DE-HE,RÜD
06439001,Aarbergen,Rheingau-Taunus-Kreis,DE-HE,SWA
09576111,Abenberg,Landkreis Roth,DE-BY,RH
09576111,Abenberg,Landkreis Roth,DE-BY,HIP
09273111,Abensberg,Landkreis Kelheim,DE-BY,KEH
09273111,Abensberg,Landkreis Kelheim,DE-BY,MAI
09273111,Abensberg,Landkreis Kelheim,DE-BY,RID
07134001,Abentheuer,Landkreis Birkenfeld,DE-RP,BIR
09577111,Absberg,Landkreis Weißenburg-Gunzenhausen,DE-BY,WUG
09577111,Absberg,Landkreis Weißenburg-Gunzenhausen,DE-BY,GUN
08125001,Abstatt,Landkreis Heilbronn,DE-BW,HN
16065001,Abtsbessingen,Kyffhäuserkreis,DE-TH,KYF
16065001,Abtsbessingen,Kyffhäuserkreis,DE-TH,ART
16065001,Abtsbessingen,Kyffhäuserkreis,DE-TH,SDH
06431001,Abtsteinach,Kreis Bergstraße,DE-HE,HP
09675111,Abtswind,Landkreis Kitzingen,DE-BY,KT
07133001,Abtweiler,Landkreis Bad Kreuznach,DE-RP,KN
08436001,Achberg,Landkreis Ravensburg,DE-BW,RV
08436001,Achberg,Landkreis Ravensburg,DE-BW,WG
08317001,Achern,Ortenaukreis,DE-BW,OG
08317001,Achern,Ortenaukreis,DE-BW,KEL
08317001,Achern,Ortenaukreis,DE-BW,LR
08317001,Achern,Ortenaukreis,DE-BW,WOL
03361001,Achim,Landkreis Verden,DE-NI,VER
09276111,Achslach,Landkreis Regen,DE-BY,REG
09276111,Achslach,Landkreis Regen,DE-BY,VIT
08426001,Achstetten,Landkreis Biberach,DE-BW,BC
07137001,Acht,Landkreis Mayen-Koblenz,DE-RP,MYK
07137001,Acht,Landkreis Mayen-Koblenz,DE-RP,MY
07134002,Achtelsbach,Landkreis Birkenfeld,DE-RP,BIR
01058001,Achterwehr,Kreis Rendsburg-Eckernförde,DE-SH,RD
01058001,Achterwehr,Kreis Rendsburg-Eckernförde,DE-SH,ECK
01054001,Achtrup,Kreis Nordfriesland,DE-SH,NF
08117001,Adelberg,Landkreis Göppingen,DE-BW,GP
03159001,Adelebsen,Landkreis Göttingen,DE-NI,GÖ
03159001,Adelebsen,Landkreis Göttingen,DE-NI,DUD
03159001,Adelebsen,Landkreis Göttingen,DE-NI,HMÜ
03159001,Adelebsen,Landkreis Göttingen,DE-NI,OHA
03351001,Adelheidsdorf,Landkreis Celle,DE-NI,CE
08136003,Adelmannsfelden,Ostalbkreis,DE-BW,AA
08136003,Adelmannsfelden,Ostalbkreis,DE-BW,GD
09176111,Adelschlag,Landkreis Eichstätt,DE-BY,EI
09572111,Adelsdorf,Landkreis Erlangen-Höchstadt,DE-BY,ERH
09572111,Adelsdorf,Landkreis Erlangen-Höchstadt,DE-BY,HÖS
08225001,Adelsheim,Neckar-Odenwald-Kreis,DE-BW,MOS
08225001,Adelsheim,Neckar-Odenwald-Kreis,DE-BW,BCH
09571111,Adelshofen,Landkreis Ansbach,DE-BY,AN
09179111,Adelshofen,Landkreis Fürstenfeldbruck,DE-BY,FFB
09772111,Adelsried,Landkreis Augsburg,DE-BY,A
09771111,Adelzhausen,Landkreis Aichach-Friedberg,DE-BY,AIC
07131001,Adenau,Landkreis Ahrweiler,DE-RP,AW
07336001,Adenbach,Landkreis Kusel,DE-RP,KUS
03355001,Adendorf,Landkreis Lüneburg,DE-NI,LG
09274111,Adlkofen,Landkreis Landshut,DE-BY,LA
09274111,Adlkofen,Landkreis Landshut,DE-BY,ROL
09274111,Adlkofen,Landkreis Landshut,DE-BY,VIB
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,LRO
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,BÜZ
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,DBR
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,GÜ
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,ROS
13072001,Admannshagen-Bargeshagen,Landkreis Rostock,DE-MV,TET
01061002,Aebtissinwisch,Kreis Steinburg,DE-SH,IZ
03252001,Aerzen,Landkreis Hameln-Pyrmont,DE-NI,HM
08118001,Affalterbach,Landkreis Ludwigsburg,DE-BW,LB
08118001,Affalterbach,Landkreis Ludwigsburg,DE-BW,VAI
09771112,Affing,Landkreis Aichach-Friedberg,DE-BY,AIC
03251001,Affinghausen,Landkreis Diepholz,DE-NI,DH
07232001,Affler,Eifelkreis Bitburg-Prüm,DE-RP,BIT
03359001,Agathenburg,Landkreis Stade,DE-NI,STD
01061003,Agethorst,Kreis Steinburg,DE-SH,IZ
08225002,Aglasterhausen,Neckar-Odenwald-Kreis,DE-BW,MOS
08225002,Aglasterhausen,Neckar-Odenwald-Kreis,DE-BW,BCH
09274112,Aham,Landkreis Landshut,DE-BY,LA
09274112,Aham,Landkreis Landshut,DE-BY,ROL
09274112,Aham,Landkreis Landshut,DE-BY,VIB
05554004,Ahaus,Kreis Borken,DE-NW,BOR
05554004,Ahaus,Kreis Borken,DE-NW,AH
03357001,Ahausen,Landkreis Rotenburg (Wümme),DE-NI,ROW
03357001,Ahausen,Landkreis Rotenburg (Wümme),DE-NI,BRV
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,VG
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,ANK
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,GW
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,PW
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,SBG
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,UEM
13075001,Ahlbeck,Landkreis Vorpommern-Greifswald,DE-MV,WLG
03358001,Ahlden,Landkreis Heidekreis,DE-NI,HK
01058175,Ahlefeld-Bistensee,Kreis Rendsburg-Eckernförde,DE-SH,RD
01058175,Ahlefeld-Bistensee,Kreis Rendsburg-Eckernförde,DE-SH,ECK
05570004,Ahlen,Kreis Warendorf,DE-NW,WAF
05570004,Ahlen,Kreis Warendorf,DE-NW,BE
03359002,Ahlerstedt,Landkreis Stade,DE-NI,STD
15087010,Ahlsdorf,Landkreis Mansfeld-Südharz,DE-ST,MSH
15087010,Ahlsdorf,Landkreis Mansfeld-Südharz,DE-ST,EIL
15087010,Ahlsdorf,Landkreis Mansfeld-Südharz,DE-ST,HET
15087010,Ahlsdorf,Landkreis Mansfeld-Südharz,DE-ST,ML
15087010,Ahlsdorf,Landkreis Mansfeld-Südharz,DE-ST,SGH
06633001,Ahnatal,Landkreis Kassel,DE-HE,KS
06633001,Ahnatal,Landkreis Kassel,DE-HE,HOG
06633001,Ahnatal,Landkreis Kassel,DE-HE,WOH
01059102,Ahneby,Kreis Schleswig-Flensburg,DE-SH,SL
03351002,Ahnsbeck,Landkreis Celle,DE-NI,CE
03257001,Ahnsen,Landkreis Schaumburg,DE-NI,SHG
03257001,Ahnsen,Landkreis Schaumburg,DE-NI,RI
09278112,Aholfing,Landkreis Straubing-Bogen,DE-BY,SR
09278112,Aholfing,Landkreis Straubing-Bogen,DE-BY,BOG
09278112,Aholfing,Landkreis Straubing-Bogen,DE-BY,MAL
09271111,Aholming,Landkreis Deggendorf,DE-BY,DEG
08128138,Ahorn,Main-Tauber-Kreis,DE-BW,TBB
08128138,Ahorn,Main-Tauber-Kreis,DE-BW,MGH
09473112,Ahorn,Landkreis Coburg,DE-BY,CO
09472111,Ahorntal,Landkreis Bayreuth,DE-BY,BT
01062001,Ahrensburg,Kreis Stormarn,DE-SH,OD
12060005,Ahrensfelde,Landkreis Barnim,DE-BB,BAR
13073001,Ahrenshagen-Daskow,Landkreis Vorpommern-Rügen,DE-MV,VR
13073001,Ahrenshagen-Daskow,Landkreis Vorpommern-Rügen,DE-MV,GMN
13073001,Ahrenshagen-Daskow,Landkreis Vorpommern-Rügen,DE-MV,NVP
13073001,Ahrenshagen-Daskow,Landkreis Vorpommern-Rügen,DE-MV,RDG
13073001,Ahrenshagen-Daskow,Landkreis Vorpommern-Rügen,DE-MV,RÜG
13073002,Ahrenshoop,Landkreis Vorpommern-Rügen,DE-MV,VR
13073002,Ahrenshoop,Landkreis Vorpommern-Rügen,DE-MV,GMN
13073002,Ahrenshoop,Landkreis Vorpommern-Rügen,DE-MV,NVP
13073002,Ahrenshoop,Landkreis Vorpommern-Rügen,DE-MV,RDG
13073002,Ahrenshoop,Landkreis Vorpommern-Rügen,DE-MV,RÜG
09771113,Aichach,Landkreis Aichach-Friedberg,DE-BY,AIC
09275111,Aicha vorm Wald,Landkreis Passau,DE-BY,PA
08117002,Aichelberg,Landkreis Göppingen,DE-BW,GP
09774166,Aichen,Landkreis Günzburg,DE-BY,GZ
09774166,Aichen,Landkreis Günzburg,DE-BY,KRU
08325001,Aichhalden,Landkreis Rottweil,DE-BW,RW
08436003,Aichstetten,Landkreis Ravensburg,DE-BW,RV
08436003,Aichstetten,Landkreis Ravensburg,DE-BW,WG
08116081,Aichtal,Landkreis Esslingen,DE-BW,ES
08116081,Aichtal,Landkreis Esslingen,DE-BW,NT
08116076,Aichwald,Landkreis Esslingen,DE-BW,ES
08116076,Aichwald,Landkreis Esslingen,DE-BW,NT
09275112,Aidenbach,Landkreis Passau,DE-BY,PA
09674111,Aidhausen,Landkreis Haßberge,DE-BY,HAS
09674111,Aidhausen,Landkreis Haßberge,DE-BY,EBN
09674111,Aidhausen,Landkreis Haßberge,DE-BY,HOH
08115001,Aidlingen,Landkreis Böblingen,DE-BW,BB
09273113,Aiglsbach,Landkreis Kelheim,DE-BY,KEH
09273113,Aiglsbach,Landkreis Kelheim,DE-BY,MAI
09273113,Aiglsbach,Landkreis Kelheim,DE-BY,RID
07143200,Ailertchen,Westerwaldkreis,DE-RP,WW
09771114,Aindling,Landkreis Aichach-Friedberg,DE-BY,AIC
09172111,Ainring,Landkreis Berchtesgadener Land,DE-BY,BGL
09773111,Aislingen,Landkreis Dillingen an der Donau,DE-BY,DLG
09278113,Aiterhofen,Landkreis Straubing-Bogen,DE-BY,SR
09278113,Aiterhofen,Landkreis Straubing-Bogen,DE-BY,BOG
09278113,Aiterhofen,Landkreis Straubing-Bogen,DE-BY,MAL
08336004,Aitern,Landkreis Lörrach,DE-BW,LÖ
08436004,Aitrach,Landkreis Ravensburg,DE-BW,RV
08436004,Aitrach,Landkreis Ravensburg,DE-BW,WG
09777111,Aitrang,Landkreis Ostallgäu,DE-BY,OAL
09777111,Aitrang,Landkreis Ostallgäu,DE-BY,FÜS
09777111,Aitrang,Landkreis Ostallgäu,DE-BY,MOD
15082005,Aken (Elbe),Landkreis Anhalt-Bitterfeld,DE-ST,ABI
09187186,Albaching,Landkreis Rosenheim,DE-BY,RO
09187186,Albaching,Landkreis Rosenheim,DE-BY,AIB
09187186,Albaching,Landkreis Rosenheim,DE-BY,WS
08337002,Albbruck,Landkreis Waldshut,DE-BW,WT
08337002,Albbruck,Landkreis Waldshut,DE-BW,SÄK
01051001,Albersdorf,Kreis Dithmarschen,DE-SH,HEI
01051001,Albersdorf,Kreis Dithmarschen,DE-SH,MED
16074001,Albersdorf,Saale-Holzland-Kreis,DE-TH,SHK
16074001,Albersdorf,Saale-Holzland-Kreis,DE-TH,EIS
16074001,Albersdorf,Saale-Holzland-Kreis,DE-TH,SRO
08117003,Albershausen,Landkreis Göppingen,DE-BW,GP
07337001,Albersweiler,Landkreis Südliche Weinstraße,DE-RP,SÜW
09675112,Albertshofen,Landkreis Kitzingen,DE-BY,KT
07336002,Albessen,Landkreis Kusel,DE-RP,KUS
07331001,Albig,Landkreis Alzey-Worms,DE-RP,AZ
07333001,Albisheim (Pfrimm),Donnersbergkreis,DE-RP,KIB
01053001,Albsfelde,Kreis Herzogtum Lauenburg,DE-SH,RZ
08417079,Albstadt,Zollernalbkreis,DE-BW,BL
08417079,Albstadt,Zollernalbkreis,DE-BW,HCH
05358004,Aldenhoven,Kreis Düren,DE-NW,DN
05358004,Aldenhoven,Kreis Düren,DE-NW,JÜL
09275114,Aldersbach,Landkreis Passau,DE-BY,PA
08327002,Aldingen,Landkreis Tuttlingen,DE-BW,TUT
09779111,Alerheim,Landkreis Donau-Ries,DE-BY,DON
09779111,Alerheim,Landkreis Donau-Ries,DE-BY,NÖ
09577113,Alesheim,Landkreis Weißenburg-Gunzenhausen,DE-BY,WUG
09577113,Alesheim,Landkreis Weißenburg-Gunzenhausen,DE-BY,GUN
09774111,Aletshausen,Landkreis Günzburg,DE-BY,GZ
09774111,Aletshausen,Landkreis Günzburg,DE-BY,KRU
07135001,Alf,Landkreis Cochem-Zell,DE-RP,COC
08119001,Alfdorf,Rems-Murr-Kreis,DE-BW,WN
09574111,Alfeld,Landkreis Nürnberger Land,DE-BY,LAU
09574111,Alfeld,Landkreis Nürnberger Land,DE-BY,HEB
09574111,Alfeld,Landkreis Nürnberger Land,DE-BY,N
03254002,Alfeld (Leine),Landkreis Hildesheim,DE-NI,HI
03254002,Alfeld (Leine),Landkreis Hildesheim,DE-NI,ALF
03459001,Alfhausen,Landkreis Osnabrück,DE-NI,OS
03459001,Alfhausen,Landkreis Osnabrück,DE-NI,BSB
03459001,Alfhausen,Landkreis Osnabrück,DE-NI,MEL
03459001,Alfhausen,Landkreis Osnabrück,DE-NI,WTL
07135002,Alflen,Landkreis Cochem-Zell,DE-RP,COC
03357002,Alfstedt,Landkreis Rotenburg (Wümme),DE-NI,ROW
03357002,Alfstedt,Landkreis Rotenburg (Wümme),DE-NI,BRV
05382004,Alfter,Rhein-Sieg-Kreis,DE-NW,SU
03254003,Algermissen,Landkreis Hildesheim,DE-NI,HI
03254003,Algermissen,Landkreis Hildesheim,DE-NI,ALF
06632001,Alheim,Landkreis Hersfeld-Rotenburg,DE-HE,HEF
06632001,Alheim,Landkreis Hersfeld-Rotenburg,DE-HE,ROF
07137201,Alken,Landkreis Mayen-Koblenz,DE-RP,MYK
07137201,Alken,Landkreis Mayen-Koblenz,DE-RP,MY
16070001,Alkersleben,Ilm-Kreis,DE-TH,IK
16070001,Alkersleben,Ilm-Kreis,DE-TH,ARN
16070001,Alkersleben,Ilm-Kreis,DE-TH,IL
01054005,Alkersum,Kreis Nordfriesland,DE-SH,NF
07134003,Allenbach,Landkreis Birkenfeld,DE-RP,BIR
06635001,Allendorf,Landkreis Waldeck-Frankenberg,DE-HE,KB
06635001,Allendorf,Landkreis Waldeck-Frankenberg,DE-HE,FKB
06635001,Allendorf,Landkreis Waldeck-Frankenberg,DE-HE,WA
07141001,Allendorf,Rhein-Lahn-Kreis,DE-RP,EMS
07141001,Allendorf,Rhein-Lahn-Kreis,DE-RP,DIZ
07141001,Allendorf,Rhein-Lahn-Kreis,DE-RP,GOH
16073001,Allendorf,Landkreis Saalfeld-Rudolstadt,DE-TH,SLF
16073001,Allendorf,Landkreis Saalfeld-Rudolstadt,DE-TH,RU
06531001,Allendorf (Lumda),Landkreis Gießen,DE-HE,GI
07133002,Allenfeld,Landkreis Bad Kreuznach,DE-RP,KN
08335002,Allensbach,Landkreis Konstanz,DE-BW,KN
08335002,Allensbach,Landkreis Konstanz,DE-BW,STO
09576113,Allersberg,Landkreis Roth,DE-BY,RH
09576113,Allersberg,Landkreis Roth,DE-BY,HIP
09178113,Allershausen,Landkreis Freising,DE-BY,FS
08426005,Alleshausen,Landkreis Biberach,DE-BW,BC
09179113,Alling,Landkreis Fürstenfeldbruck,DE-BY,FFB
09772114,Allmannshofen,Landkreis Augsburg,DE-BY,A
08426006,Allmannsweiler,Landkreis Biberach,DE-BW,BC
08425002,Allmendingen,Alb-Donau-Kreis,DE-BW,UL
08119003,Allmersbach im Tal,Rems-Murr-Kreis,DE-BW,WN
15087015,Allstedt,Landkreis Mansfeld-Südharz,DE-ST,MSH
15087015,Allstedt,Landkreis Mansfeld-Südharz,DE-ST,EIL
15087015,Allstedt,Landkreis Mansfeld-Südharz,DE-ST,HET
15087015,Allstedt,Landkreis Mansfeld-Südharz,DE-ST,ML
15087015,Allstedt,Landkreis Mansfeld-Südharz,DE-ST,SGH
01054006,Almdorf,Kreis Nordfriesland,DE-SH,NF
07132001,Almersbach,Landkreis Altenkirchen (Westerwald),DE-RP,AK
05170004,Alpen,Kreis Wesel,DE-NW,WES
05170004,Alpen,Kreis Wesel,DE-NW,DIN
05170004,Alpen,Kreis Wesel,DE-NW,MO
07143202,Alpenrod,Westerwaldkreis,DE-RP,WW
16068001,Alperstedt,Landkreis Sömmerda,DE-TH,SÖM
08237002,Alpirsbach,Landkreis Freudenstadt,DE-BW,FDS
08237002,Alpirsbach,Landkreis Freudenstadt,DE-BW,HOR
07143001,Alsbach,Westerwaldkreis,DE-RP,WW
05334004,Alsdorf,Städteregion Aachen,DE-NW,AC
07132002,Alsdorf,Landkreis Altenkirchen,DE-RP,AK
07232002,Alsdorf,Eifelkreis Bitburg-Prüm,DE-RP,BIT
07333003,Alsenz,Donnersbergkreis,DE-RP,KIB
07333003,Alsenz,Donnersbergkreis,DE-RP,ROK
06535001,Alsfeld,Vogelsbergkreis,DE-HE,VB
07331002,Alsheim,Landkreis Alzey-Worms,DE-RP,AZ
15089005,Alsleben,Salzlandkreis,DE-ST,SLK
15089005,Alsleben,Salzlandkreis,DE-ST,ASL
15089005,Alsleben,Salzlandkreis,DE-ST,BBG
15089005,Alsleben,Salzlandkreis,DE-ST,SBK
15089005,Alsleben,Salzlandkreis,DE-ST,SFT
08116004,Altbach,Landkreis Esslingen,DE-BW,ES
08116004,Altbach,Landkreis Esslingen,DE-BW,NT
01059001,Alt Bennebek,Kreis Schleswig-Flensburg,DE-SH,SL
13072002,Alt Bukow,Landkreis Rostock,DE-MV,LRO
13072002,Alt Bukow,Landkreis Rostock,DE-MV,BÜZ
13072002,Alt Bukow,Landkreis Rostock,DE-MV,DBR
13072002,Alt Bukow,Landkreis Rostock,DE-MV,GÜ
13072002,Alt Bukow,Landkreis Rostock,DE-MV,ROS
13072002,Alt Bukow,Landkreis Rostock,DE-MV,TET
09274113,Altdorf,Landkreis Landshut,DE-BY,LA
09274113,Altdorf,Landkreis Landshut,DE-BY,ROL
09274113,Altdorf,Landkreis Landshut,DE-BY,VIB
08115002,Altdorf,Landkreis Böblingen,DE-BW,BB
08116005,Altdorf,Landkreis Esslingen,DE-BW,ES
08116005,Altdorf,Landkreis Esslingen,DE-BW,NT
07337002,Altdorf,Landkreis Südliche Weinstraße,DE-RP,SÜW
01058003,Alt Duvenstedt,Kreis Rendsburg-Eckernförde,DE-SH,RD
01058003,Alt Duvenstedt,Kreis Rendsburg-Eckernförde,DE-SH,ECK
09375113,Alteglofsheim,Landkreis Regensburg,DE-BY,R
05962004,Altena,Märkischer Kreis,DE-NW,MK
07131003,Altenahr,Landkreis Ahrweiler,DE-RP,AW
07133003,Altenbamberg,Landkreis Bad Kreuznach,DE-RP,KN
05774004,Altenbeken,Kreis Paderborn,DE-NW,PB
05774004,Altenbeken,Kreis Paderborn,DE-NW,BÜR
14628010,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,DE-SN,PIR
14628010,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,DE-SN,DW
14628010,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,DE-SN,FTL
14628010,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,DE-SN,SEB
16074002,Altenberga,Saale-Holzland-Kreis,DE-TH,SHK
16074002,Altenberga,Saale-Holzland-Kreis,DE-TH,EIS
16074002,Altenberga,Saale-Holzland-Kreis,DE-TH,SRO
05566004,Altenberge,Kreis Steinfurt,DE-NW,ST
05566004,Altenberge,Kreis Steinfurt,DE-NW,BF
05566004,Altenberge,Kreis Steinfurt,DE-NW,TE
16073002,Altenbeuthen,Landkreis Saalfeld-Rudolstadt,DE-TH,SLF
16073002,Altenbeuthen,Landkreis Saalfeld-Rudolstadt,DE-TH,RU
09676111,Altenbuch,Landkreis Miltenberg,DE-BY,MIL
09676111,Altenbuch,Landkreis Miltenberg,DE-BY,OBB
16077001,Altenburg,Landkreis Altenburger Land,DE-TH,ABG
07141002,Altendiez,Rhein-Lahn-Kreis,DE-RP,EMS
07141002,Altendiez,Rhein-Lahn-Kreis,DE-RP,DIZ
07141002,Altendiez,Rhein-Lahn-Kreis,DE-RP,GOH
09376112,Altendorf,Landkreis Schwandorf,DE-BY,SAD
09376112,Altendorf,Landkreis Schwandorf,DE-BY,BUL
09376112,Altendorf,Landkreis Schwandorf,DE-BY,NEN
09376112,Altendorf,Landkreis Schwandorf,DE-BY,OVI
09471111,Altendorf,Landkreis Bamberg,DE-BY,BA
07336003,Altenglan,Landkreis Kusel,DE-RP,KUS
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,MSE
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,AT
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,DM
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,MC
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,MST
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,MÜR
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,NZ
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,RM
13071002,Altenhagen,Landkreis Mecklenburgische Seenplatte,DE-MV,WRN
15083020,Altenhausen,Landkreis Börde,DE-ST,BK
01058004,Altenhof,Kreis Rendsburg-Eckernförde,DE-SH,RD
01058004,Altenhof,Kreis Rendsburg-Eckernförde,DE-SH,ECK
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,MSE
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,AT
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,DM
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,MC
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,MST
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,MÜR
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,NZ
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,RM
13071003,Altenhof,Landkreis Mecklenburgische Seenplatte,DE-MV,WRN
01058005,Altenholz,Kreis Rendsburg-Eckernförde,DE-SH,RD
01058005,Altenholz,Kreis Rendsburg-Eckernförde,DE-SH,ECK
07336004,Altenkirchen,Landkreis Kusel,DE-RP,KUS
13073004,Altenkirchen,Landkreis Vorpommern-Rügen,DE-MV,VR
13073004,Altenkirchen,Landkreis Vorpommern-Rügen,DE-MV,GMN
13073004,Altenkirchen,Landkreis Vorpommern-Rügen,DE-MV,NVP
13073004,Altenkirchen,Landkreis Vorpommern-Rügen,DE-MV,RDG
13073004,Altenkirchen,Landkreis Vorpommern-Rügen,DE-MV,RÜG
07132501,Altenkirchen (Westerwald),Landkreis Altenkirchen,DE-RP,AK
01055002,Altenkrempe,Kreis Ostholstein,DE-SH,OH
09478111,Altenkunstadt,Landkreis Lichtenfels,DE-BY,LIF
09478111,Altenkunstadt,Landkreis Lichtenfels,DE-BY,STE
03360001,Altenmedingen,Landkreis Uelzen,DE-NI,UE
01061004,Altenmoor,Kreis Steinburg,DE-SH,IZ
13073005,Altenpleen,Landkreis Vorpommern-Rügen,DE-MV,VR
13073005,Altenpleen,Landkreis Vorpommern-Rügen,DE-MV,GMN
13073005,Altenpleen,Landkreis Vorpommern-Rügen,DE-MV,NVP
13073005,Altenpleen,Landkreis Vorpommern-Rügen,DE-MV,RDG
13073005,Altenpleen,Landkreis Vorpommern-Rügen,DE-MV,RÜG
08116006,Altenriet,Landkreis Esslingen,DE-BW,ES
08116006,Altenriet,Landkreis Esslingen,DE-BW,NT
06440001,Altenstadt,Wetteraukreis,DE-HE,FB
06440001,Altenstadt,Wetteraukreis,DE-HE,BÜD
09190111,Altenstadt,Landkreis Weilheim-Schongau,DE-BY,WM
09190111,Altenstadt,Landkreis Weilheim-Schongau,DE-BY,SOG
09775111,Altenstadt,Landkreis Neu-Ulm,DE-BY,NU
09775111,Altenstadt,Landkreis Neu-Ulm,DE-BY,ILL
08235006,Altensteig,Landkreis Calw,DE-BW,CW
09375114,Altenthann,Landkreis Regensburg,DE-BY,R
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,MSE
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,AT
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,DM
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,MC
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,MST
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,MÜR
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,NZ
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,RM
13071004,Altentreptow,Landkreis Mecklenburgische Seenplatte,DE-MV,WRN
09679165,Altertheim,Landkreis Würzburg,DE-BY,WÜ
09679165,Altertheim,Landkreis Würzburg,DE-BY,OCH
09274114,Altfraunhofen,Landkreis Landshut,DE-BY,LA
09274114,Altfraunhofen,Landkreis Landshut,DE-BY,ROL
09274114,Altfraunhofen,Landkreis Landshut,DE-BY,VIB
09179114,Althegnenberg,Landkreis Fürstenfeldbruck,DE-BY,FFB
08426008,Altheim,Landkreis Biberach,DE-BW,BC
08425004,Altheim,Alb-Donau-Kreis,DE-BW,UL
08425005,Altheim (Alb),Alb-Donau-Kreis,DE-BW,UL
08235007,Althengstett,Landkreis Calw,DE-BW,CW
07340201,Althornbach,Landkreis Südwestpfalz,DE-RP,PS
07340201,Althornbach,Landkreis Südwestpfalz,DE-RP,ZW
13072004,Altkalen,Landkreis Rostock,DE-MV,LRO
13072004,Altkalen,Landkreis Rostock,DE-MV,BÜZ
13072004,Altkalen,Landkreis Rostock,DE-MV,DBR
13072004,Altkalen,Landkreis Rostock,DE-MV,GÜ
13072004,Altkalen,Landkreis Rostock,DE-MV,ROS
13072004,Altkalen,Landkreis Rostock,DE-MV,TET
13076001,Alt Krenzlin,Landkreis Ludwigslust-Parchim,DE-MV,LUP
13076001,Alt Krenzlin,Landkreis Ludwigslust-Parchim,DE-MV,HGN
13076001,Alt Krenzlin,Landkreis Ludwigslust-Parchim,DE-MV,LBZ
13076001,Alt Krenzlin,Landkreis Ludwigslust-Parchim,DE-MV,LWL
13076001,Alt Krenzlin,Landkreis Ludwigslust-Parchim,DE-MV,PCH
